fast_period,slow_period,stop_loss_pct,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,win_loss_ratio,score
15,60,0.03,69.94842048329295,-0.012476529021003562,23.31092105655571,14,35.714285714285715,3.9692556500917164,28.654999770694893
20,70,0.025,64.94550377360552,-0.051696271881424075,18.438739203559972,13,38.46153846153847,3.6800751927385473,28.602705828018223
15,50,0.02,66.76916669262896,-0.020582650424788212,20.71004741649287,13,30.76923076923077,4.951424493597266,28.423647710454436
10,40,0.04,38.81105891635555,-0.31544885267315975,20.656478358926133,18,55.55555555555556,1.4231540763722799,28.37294333408288
15,40,0.025,37.67309965279884,-0.3484039249247308,15.471408556785072,17,47.05882352941176,1.8939215446962838,28.29244114428786
15,60,0.02,64.35809852260937,-0.042412029820349806,19.99498089706727,14,28.57142857142857,5.859718922339485,27.74524705021684
15,60,0.025,63.49657725208593,-0.04522179591030005,20.407497255707842,14,28.57142857142857,5.731889287903262,27.235631998551234
15,50,0.025,64.15193905488286,-0.029847107563547214,21.303694938383323,13,30.76923076923077,4.682176210827472,27.139297646599815
15,50,0.03,63.823242108136704,-0.03084427855790469,21.455735298540517,13,30.76923076923077,4.649449050971171,26.947002723838473
20,70,0.02,59.329854241867295,-0.06559416665578115,17.99429980230513,13,23.076923076923077,8.508200141328206,26.534221775824868
15,70,0.02,59.93019187890232,-0.06063557464641511,19.811160378341018,13,23.076923076923077,7.435058056747428,26.047612600224518
10,40,0.03,30.70029497758595,-0.41463945645011824,18.523418882852084,18,50.0,1.5917962567670243,24.87075043789355
10,40,0.025,30.49018964373438,-0.41288582465768897,18.523418882852084,18,50.0,1.5807038306282932,24.78670830435292
10,40,0.035,30.252241558187443,-0.4206704077407661,18.523418882852084,18,50.0,1.5703212525473949,24.691529070134145
30,40,0.02,40.17037195757032,-0.3013353744686644,14.859734827475895,16,43.75,2.8753743660806963,20.124254852037772
10,30,0.04,35.15257505720702,-0.3137516268501317,17.628294050707865,21,38.095238095238095,2.9966353677028,17.00971240259966
15,40,0.02,35.82929148167773,-0.312588635869638,19.344515741773154,17,41.17647058823529,2.4281194091172633,16.59391029596183
20,30,0.035,33.314176326964805,-0.39849310927964887,18.973906570741942,23,43.47826086956522,2.0743452194246097,15.736107902489145
20,30,0.04,31.704983827132914,-0.4133066445124463,19.647529354868748,23,43.47826086956522,1.9985331733677325,14.822981788905667
